City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
flinders,AU,-34.58,150.86,73,72,75,12.75,1584329430
nagaur,IN,27.2,73.73,66.52,38,100,9.73,1584329430
ponta do sol,PT,32.67,-17.1,60.8,82,75,11.41,1584329431
ekuvukeni,ZA,-28.47,30.16,62.98,93,61,3.8,1584329431
mayo,US,38.89,-76.51,44.6,80,1,4.7,1584329314
george town,MY,5.41,100.34,89.6,59,20,4.7,1584329431
margate,GB,51.38,1.39,45,93,18,5.82,1584329208
lorengau,PG,-2.02,147.27,84.16,72,100,6.6,1584329431
fortuna,US,40.6,-124.16,44.6,80,20,9.17,1584329006
hobyo,SO,5.35,48.53,80.29,80,69,14.14,1584329300
chama,CH,47.18,8.46,39.99,68,0,1.12,1584329432
ossora,RU,59.24,163.07,31.73,97,100,26.22,1584329432
kropotkin,RU,45.44,40.58,36,49,100,9.46,1584329323
yar-sale,RU,66.83,70.83,-10.44,95,0,4.43,1584329315
nicoya,CR,10.15,-85.45,82.4,58,53,18.34,1584329433
rio grande,BR,-32.03,-52.1,68,100,90,11.63,1584329257
nassau,US,40.75,-73.58,45,33,1,3.36,1584329236
victoria,HK,22.29,114.16,73.99,56,20,16.11,1584328843
montrose,US,38.42,-108.27,55.4,49,1,8.1,1584329433
varzea da palma,BR,-17.6,-44.73,65.68,91,100,4.81,1584329434
inyonga,TZ,-6.72,32.07,64.98,94,100,1.41,1584329434
sioux lookout,CA,50.1,-91.92,24.8,92,90,5.82,1584329416
diffa,NE,13.32,12.61,64.06,15,29,5.99,1584329434
neepawa,CA,50.23,-99.47,24.8,92,90,14.99,1584329434
san jeronimo,PE,-11.95,-75.28,43.45,90,100,3.69,1584329434
nuevo progreso,MX,23.17,-97.95,73.99,95,6,1.01,1584329434
ust-kut,RU,56.79,105.77,29.16,89,100,11.36,1584329435
coxim,BR,-18.51,-54.76,77.9,74,99,2.26,1584329435
isla vista,US,34.41,-119.86,57.2,81,90,11.41,1584329435
tilichiki,RU,60.47,166.1,28.92,96,100,23.58,1584329435
upernavik,GL,72.79,-56.15,-22.16,78,0,6.15,1584328956
okhotsk,RU,59.38,143.3,10.83,78,21,13.06,1584329241
ketchikan,US,55.34,-131.65,44.6,64,1,14.99,1584329436
coquimbo,CL,-29.95,-71.34,60.8,87,90,4.47,1584329244
sorong,ID,-0.88,131.25,89.85,49,0,4.94,1584329346
hambantota,LK,6.12,81.12,80.6,83,24,4.7,1584328839
ulladulla,AU,-35.35,150.47,69.01,72,75,12.75,1584329436
tochigi,JP,36.38,139.73,57.99,43,75,4.7,1584329436
calabar,NG,4.95,8.32,80.28,87,11,1.1,1584329437
dumka,IN,24.27,87.25,78.84,34,62,5.86,1584329437
jiexiu,CN,37.02,111.91,53.26,20,100,8.86,1584329429
libertador general san martin,AR,-23.81,-64.79,67.62,95,87,0.38,1584329437
todos santos,MX,23.45,-110.22,70,49,75,4.38,1584329437
xichang,CN,27.9,102.26,54.79,44,0,10.09,1584329437
batagay-alyta,RU,67.8,130.41,-4.2,95,100,8.99,1584329438
alta floresta,BR,-9.88,-56.09,70.84,98,100,3.09,1584329438
baker city,US,44.77,-117.83,39.99,93,75,6.93,1584329438
smithers,CA,54.78,-127.17,28.4,42,5,3.36,1584328723
quesnel,CA,53,-122.5,21.2,53,1,2.24,1584329162
whitecourt,CA,54.15,-115.69,19.4,41,40,8.05,1584329439
emerald,AU,-23.53,148.17,84.99,45,0,12.75,1584329439
poros,GR,37.5,23.45,48.99,76,90,10.29,1584329439
oltedal,NO,58.83,6.05,41,100,75,9.17,1584329439
huarmey,PE,-10.07,-78.15,73.71,69,100,2.3,1584329439
fukue,JP,32.69,128.84,50,43,40,9.17,1584329439
muros,ES,42.78,-9.06,48.99,93,75,3.36,1584329439
nanortalik,GL,60.14,-45.24,18.41,65,19,24.92,1584328845
mokrous,RU,51.23,47.52,27.93,65,100,15.14,1584329440
pemangkat,ID,1.17,108.97,84.9,71,2,7.67,1584329332
banda aceh,ID,5.56,95.32,85.28,64,59,6.04,1584329440
veraval,IN,20.9,70.37,78.73,16,100,18.72,1584329440
sechura,PE,-5.56,-80.82,76.78,77,99,7.58,1584329440
yashalta,RU,46.34,42.28,32.34,41,100,9.93,1584329440
aksarka,RU,66.56,67.8,-6.86,80,44,8.77,1584329441
marsh harbour,BS,26.54,-77.06,72.45,73,0,10.94,1584328865
kirakira,SB,-10.45,161.92,82.31,75,100,6.67,1584329441
kjollefjord,NO,70.95,27.35,22.57,78,100,6.26,1584329441
sept-iles,CA,50.2,-66.38,14,43,90,14.99,1584329441
portland,US,45.52,-122.68,42.01,44,75,24.16,1584329205
krasnokamensk,RU,50.1,118.04,20.43,92,100,5.3,1584329441
mezen,RU,65.85,44.24,22.12,94,100,16.78,1584329442
taltal,CL,-25.4,-70.48,57.81,89,0,3.4,1584329442
puerto quijarro,BO,-17.78,-57.77,74.48,94,86,3.56,1584329442
nikolsk,RU,53.72,46.07,30.09,95,100,11.48,1584329442
ust-nera,RU,64.57,143.2,-12.82,90,86,3.96,1584329442
ust-kulom,RU,61.69,53.69,2.26,94,0,5.03,1584329442
gizo,SB,-8.1,156.84,83.79,68,98,6.85,1584329443
asha,RU,55,57.27,27.48,96,100,4.29,1584329443
varkaus,FI,62.32,27.87,34,92,90,17.22,1584329443
riacho de santana,BR,-13.61,-42.94,73.4,94,100,2.24,1584329443
katima mulilo,NA,-17.5,24.27,71.6,100,90,2.33,1584329443
pacatuba,BR,-3.98,-38.62,80.6,83,75,3.36,1584329443
hit,IQ,33.64,42.83,61.39,67,100,2.04,1584329366
patrasaer,IN,23.22,87.52,75.2,69,40,2.24,1584329444
oistins,BB,13.07,-59.53,77,78,40,8.05,1584329444
black river,JM,18.03,-77.85,75.2,69,20,5.82,1584329443
carutapera,BR,-1.2,-46.02,78.42,85,100,8.68,1584328916
leh,IN,34.17,77.58,9.41,45,0,2.68,1584329445
santa rosa,PH,14.31,121.11,84.99,66,75,8.05,1584329445
mahanje,TZ,-9.93,35.33,66.04,95,100,2.26,1584329418
lesnyye polyany,RU,55.97,37.87,25,85,0,6.71,1584329445
husavik,IS,66.04,-17.34,30.2,86,90,14.99,1584329050
mingshui,CN,36.72,117.5,60.01,29,100,3,1584329446
kalabo,ZM,-14.97,22.68,65.73,94,100,3.53,1584329446
chingirlau,KZ,51.09,54.08,30.22,58,100,11.3,1584329446
wahpeton,US,46.27,-96.61,32,87,100,12.75,1584329446
itarema,BR,-2.92,-39.92,75.02,97,100,4.07,1584329164
havelock,US,34.88,-76.9,50,71,90,18.34,1584329429
do gonbadan,IR,30.36,50.8,51.8,81,20,6.38,1584329447
ayr,GB,55.46,-4.63,41,86,40,2.24,1584329447
impfondo,CG,1.64,18.07,75.06,81,100,2.17,1584329447
fairbanks,US,64.84,-147.72,30.2,86,90,9.17,1584329345
tabou,CI,4.42,-7.35,74.95,95,100,1.74,1584329253
oksfjord,NO,70.24,22.35,23,79,88,11.41,1584329447
ekhabi,RU,53.51,142.97,5.86,89,24,14.79,1584329447
makarov,RU,48.63,142.8,21.56,56,58,15.68,1584329448
maceio,BR,-9.67,-35.74,75.2,94,90,8.05,1584329404
beloha,MG,-25.17,45.05,70.34,97,51,8.3,1584329360
zhengjiatun,CN,43.51,123.51,34.43,17,4,17.78,1584329448
birjand,IR,32.87,59.22,50,81,75,6.93,1584329448
constitucion,CL,-35.33,-72.42,53.01,80,0,5.91,1584329159
gannan,CN,47.91,123.5,22.14,69,47,5.1,1584329449
kambove,CD,-10.88,26.6,62.87,97,100,3.4,1584329449
yulara,AU,-25.24,130.99,89.6,8,0,9.17,1584329213
benghazi,LY,32.12,20.07,63,65,0,8.88,1584329449
sao cristovao,BR,-11.01,-37.21,82.4,78,40,6.93,1584329449
miandrivazo,MG,-19.52,45.47,75.4,87,4,1.41,1584329449
muisne,EC,0.6,-80.03,75.87,87,6,2.28,1584329450
camacha,PT,33.08,-16.33,60.8,72,40,13.87,1584329450
semey,KZ,50.41,80.23,35.6,80,100,8.95,1584329193
buala,SB,-8.14,159.59,83.62,75,100,9.55,1584329262
aksu,CN,41.12,80.26,48.02,21,0,6.04,1584329450
broken hill,AU,-31.95,141.43,80.6,28,40,11.41,1584329251
hopelchen,MX,19.77,-89.85,78.8,88,40,2.95,1584329450
yuzhno-sukhokumsk,RU,44.66,45.64,35.92,94,100,9.6,1584329451
teya,RU,60.38,92.63,30.18,91,100,8.63,1584329451
haverfordwest,GB,51.8,-4.97,37,91,0,9.33,1584329412
plettenberg bay,ZA,-34.05,23.37,62.04,86,92,10.36,1584329451
bull savanna,JM,17.89,-77.59,65.79,83,0,5.35,1584329451
port augusta,AU,-32.5,137.77,80.6,32,72,11.41,1584329451
santa maria,BR,-29.68,-53.81,73.4,88,75,10.29,1584329232
ende,ID,-8.84,121.66,84.45,64,9,1.41,1584329452
olafsvik,IS,64.89,-23.71,32.27,91,100,23.6,1584329274
russell,US,32.35,-85.2,71.6,64,90,5.08,1584329452
chipoka,MW,-13.99,34.52,68.67,70,8,5.48,1584329452
mountain home,US,43.13,-115.69,46.4,100,40,10.29,1584329452
malanje,AO,-9.54,16.34,63.84,98,77,3.85,1584329246
verkhoyansk,RU,67.54,133.38,-4.2,71,97,5.73,1584329199
arlit,NE,18.74,7.39,71.87,12,100,8.5,1584329433
nevers,FR,46.92,3.33,48.2,76,94,3.36,1584329453
hofn,IS,64.25,-15.21,41.2,67,100,34.27,1584329336
rio gallegos,AR,-51.62,-69.22,62.96,58,100,16.04,1584329362
opunake,NZ,-39.46,173.86,70,67,100,4,1584329408
buraydah,SA,26.33,43.98,57.2,87,0,5.82,1584329453
ybycui,PY,-26.02,-57.05,77.58,67,58,6.91,1584329453
kizukuri,JP,40.81,140.39,37.4,88,75,4.7,1584329454
inirida,CO,3.87,-67.92,76.82,86,67,2.08,1584329454
axim,GH,4.87,-2.24,78.22,92,50,4.56,1584329230
chapais,CA,49.78,-74.85,-14.8,75,1,0.89,1584329454
lysyanka,UA,49.25,30.83,29.46,59,0,8.32,1584329454
hammerfest,NO,70.66,23.68,23,73,90,9.17,1584329454
mimongo,GA,-1.62,11.61,68.14,98,76,2.91,1584329454
tromso,NO,69.65,18.96,26.6,68,75,19.46,1584328641
gazli,UZ,40.13,63.45,61.56,37,100,7.9,1584329455
chiredzi,ZW,-21.05,31.67,71.46,86,74,8.57,1584329455
puerto leguizamo,CO,-0.19,-74.78,74.86,83,95,1.77,1584329224
baryatino,RU,54.31,34.52,24.1,59,0,4.32,1584329455
erdenet,MN,49.03,104.08,31.03,76,100,5.48,1584329455
sovetskiy,RU,61.36,63.58,9.09,76,10,5.73,1584328989
aykhal,RU,66,111.5,24.8,92,90,6.71,1584329289
morro bay,US,35.37,-120.85,55,87,90,5.82,1584329418
cheney,US,47.49,-117.58,35.01,87,90,5.82,1584329156
caconda,AO,-13.73,15.07,62.22,98,100,3.69,1584329456
nouakchott,MR,18.09,-15.98,68,49,0,17.22,1584329456
ambanja,MG,-13.68,48.45,78.8,83,40,2.42,1584329456
mount isa,AU,-20.73,139.5,91.4,24,39,10.29,1584329425
tavda,RU,58.04,65.27,21.92,90,0,7.16,1584329457
ndele,CF,8.41,20.65,74.7,24,38,0.56,1584329457
itacoatiara,BR,-3.14,-58.44,73.4,100,99,2.59,1584329457
handlova,SK,48.73,18.76,35.6,79,49,2.59,1584329457
mahon,ES,39.89,4.27,55.4,93,99,16.11,1584329457
coahuayana,MX,18.73,-103.68,71.6,88,40,6.93,1584329457
brownsville,US,25.9,-97.5,73.99,88,90,9.17,1584329458
omboue,GA,-1.57,9.26,74.73,95,92,2.01,1584329407
maragogi,BR,-9.01,-35.22,82.15,74,46,5.64,1584329458
bandarbeyla,SO,9.49,50.81,79.02,71,100,6.4,1584329434
nioro,GM,13.35,-15.75,71.37,29,89,10.25,1584329458
araouane,ML,18.9,-3.53,76.08,8,0,11.41,1584329458
broome,US,42.25,-75.83,27,45,1,9.17,1584328980
tirau,NZ,-37.98,175.75,72,69,100,3,1584329459
aklavik,CA,68.22,-135.01,-0.4,70,75,4.7,1584329292
khorixas,NA,-20.37,14.97,73.56,34,75,0.83,1584329459
tonantins,BR,-2.87,-67.8,75.15,93,79,2.68,1584329459
curitibanos,BR,-27.28,-50.58,68.25,63,50,0.31,1584329459
panama city,PA,8.99,-79.52,80.6,78,9,6.93,1584329356
aleksandrov gay,RU,50.15,48.57,29.37,46,85,15.3,1584329460
mahibadhoo,MV,3.78,72.97,83.3,68,5,5.35,1584329460
eldorado,BR,-23.79,-54.28,74.59,75,70,2.95,1584329460
kruisfontein,ZA,-34,24.73,60.33,88,100,10.02,1584329025
tarata,BO,-17.62,-66.02,62.6,77,75,3.36,1584329460
podujevo,XK,42.91,21.19,33.8,74,75,9.17,1584329461
yichang,CN,30.71,111.28,59.52,62,100,2.73,1584329461
virginia beach,US,36.85,-75.98,48.2,61,90,12.75,1584328851
soissons,FR,49.33,3.33,44.6,87,36,3.36,1584329461
pochutla,MX,15.74,-96.47,82.4,83,40,5.82,1584329461
west bay,KY,19.37,-81.42,78.8,74,20,9.17,1584329461
umm lajj,SA,25.02,37.27,68.52,37,0,9.75,1584329462
batagay,RU,67.63,134.63,-5.44,79,89,4.92,1584329462
eirunepe,BR,-6.66,-69.87,74.79,94,100,1.07,1584329462
mareeba,AU,-17,145.43,89.6,46,57,10.29,1584329462
gaoual,GN,11.75,-13.2,69.39,23,38,0.89,1584329210
agadir,MA,30.42,-9.6,57.2,87,16,3.36,1584329462
boguchany,RU,58.38,97.45,32.27,89,100,9.24,1584329462
severo-yeniseyskiy,RU,60.37,93.04,30.33,90,100,8.57,1584329463
lovozero,RU,68,35.01,24.04,94,100,4.18,1584329463
gravdal,NO,68.12,13.5,30.45,58,33,20.83,1584329463
sumbe,AO,-11.21,13.84,77.09,89,100,1.03,1584329463
dunedin,NZ,-45.87,170.5,53.01,81,88,1.99,1584329051
abha,SA,18.22,42.51,55.4,93,78,2.28,1584329031
kieta,PG,-6.22,155.63,83.5,72,100,6.33,1584329084
kutum,SD,14.2,24.67,57.13,28,20,4.99,1584329463
sohag,EG,26.56,31.69,60.8,63,0,4.7,1584329426
mehamn,NO,71.04,27.85,20.05,79,100,8.3,1584329246
tuatapere,NZ,-46.13,167.68,54,71,78,15.01,1584329372
khani,GE,41.96,42.96,42.8,93,90,14.99,1584329383
truth or consequences,US,33.13,-107.25,60.8,29,1,9.17,1584329464
westport,US,41.14,-73.36,44.6,26,1,11.41,1584329344
alenquer,BR,-1.94,-54.74,75.2,94,75,4.7,1584329465
linfen,CN,36.09,111.52,60.1,19,100,8.55,1584329347
quatre cocos,MU,-20.21,57.76,77,94,75,2.24,1584329401
ugoofaaru,MV,5.67,73,83.39,74,37,8.75,1584329465
wageningen,NL,51.97,5.67,48,93,100,2.24,1584329378
kachkanar,RU,58.7,59.49,14.86,90,5,1.97,1584329465
ust-ilimsk,RU,58,102.66,31.21,88,96,10.65,1584329466
abilene,US,32.45,-99.73,50,87,75,6.93,1584329250
port macquarie,AU,-31.43,152.92,75,88,21,4.7,1584329109
warri,NG,5.52,5.75,79.09,92,92,1.99,1584329466
kaeo,NZ,-35.1,173.78,68,76,100,4,1584329303
banjar,ID,-8.19,114.97,87.8,79,40,4.7,1584329115
bintulu,MY,3.17,113.03,87.8,70,75,8.05,1584329279
emba,KZ,48.83,58.14,28.71,88,100,2.01,1584329467
nibbar,TN,36.29,8.77,46.85,91,46,2.98,1584329467
almaznyy,RU,48.04,40.05,17.6,78,0,4.47,1584329467
mityana,UG,0.42,32.02,63.73,97,54,1.7,1584329467
port hardy,CA,50.7,-127.42,41,48,5,4.7,1584329197
yanam,IN,16.73,82.22,80.6,69,46,5.82,1584329245
oranjemund,NA,-28.55,16.43,58.33,93,1,2.73,1584329360
eydhafushi,MV,5.1,73.07,83.66,72,42,9.42,1584329468
schwandorf,DE,49.33,12.11,37.99,74,1,3.36,1584329468
kibala,TD,9.11,18.35,73.42,13,25,5.48,1584329468
teguldet,RU,57.31,88.17,36.54,87,100,15.05,1584329468
watertown,US,42.37,-71.18,35.01,29,1,13.87,1584329398
iquique,CL,-20.22,-70.14,71.6,64,0,8.05,1584329469
fraserburgh,GB,57.69,-2.02,37.99,88,0,5.82,1584329469
wattegama,LK,6.8,81.48,80.6,83,41,4.7,1584329469
puerto baquerizo moreno,EC,-0.9,-89.6,79.48,80,82,5.7,1584329064
amod,IN,21.98,72.9,68,45,100,6.93,1584329469
balabac,PH,7.99,117.06,84.78,65,0,13.98,1584329469
valle de allende,MX,26.93,-105.4,65.73,40,90,4.07,1584329469
nesterov,RU,54.63,22.57,33.96,39,100,16.93,1584329470
moron,AR,-34.65,-58.62,68,87,0,5.82,1584329470
grevesmuhlen,DE,53.87,11.18,48,70,85,3,1584329470
koungou,YT,-12.73,45.2,82.4,83,63,6.93,1584329470
shelburne,CA,44.08,-80.2,28,58,5,9.17,1584329470
rantepao,ID,-2.97,119.9,77.32,81,100,2.8,1584329468
kiunga,PG,-6.12,141.29,73.54,98,100,2.46,1584329385
henties bay,NA,-22.12,14.28,61,95,0,1.99,1584329263
itapirapua,BR,-15.82,-50.61,70.92,92,0,2.33,1584329471
amahai,ID,-3.33,128.92,82.33,70,88,3.49,1584329471
harper,LR,4.38,-7.72,74.95,95,100,1.74,1584329406
mariveles,PH,14.48,120.48,86,58,75,13.87,1584329471
guerrero negro,MX,27.98,-114.06,60.51,72,0,15.5,1584329269
tulle,FR,45.33,1.83,50,81,100,20.8,1584329472
totness,SR,5.88,-56.32,79.68,79,86,13.38,1584329472
bahia de caraquez,EC,-0.6,-80.42,80.6,83,40,3.36,1584329472
rudnyy,KZ,52.96,63.12,24.8,92,93,3.71,1584329472
rezh,RU,57.37,61.4,23.76,91,64,2.51,1584329472
kununurra,AU,-15.77,128.73,95,34,41,10.29,1584328969
marawi,PH,8,124.29,81,77,32,7,1584329473
yerbogachen,RU,61.28,108.01,31.19,93,100,14.45,1584329373
sur,OM,22.57,59.53,67.82,70,12,9.22,1584329473
mantua,IT,45.17,10.78,45,86,0,3.36,1584329385
nizwa,OM,22.93,57.53,59.68,53,0,1.77,1584329285
blagoyevo,RU,63.37,47.92,15.15,85,19,11.72,1584329473
adrar,MR,20.5,-10.07,67.33,20,0,12.62,1584329014
ha tinh,VN,18.33,105.9,71.94,93,100,6.13,1584329474
bayir,TR,37.27,28.22,50,93,75,3.36,1584329474
hualmay,PE,-11.1,-77.61,71.74,79,100,4.25,1584329263
rocha,UY,-34.48,-54.33,53.87,91,26,2.37,1584329008
vila franca do campo,PT,37.72,-25.43,50,76,20,2.24,1584329279
kabo,CF,7.7,18.63,76.77,15,81,4.47,1584329474
manavalakurichi,IN,8.13,77.3,84.2,66,20,4.7,1584329475
okahandja,NA,-21.98,16.92,68,60,0,3.36,1584329475
